"time","power"
0.09382332813010019,0.207828610818322
0.11258799375612023,0.22138265065429952
0.13135265938214027,0.28306918838965595
0.1501173250081603,0.29787574675833106
0.16888199063418033,0.27130446074324643
0.18764665626020038,0.2742120930512944
0.2064113218862204,0.21534372201450755
0.22517598751224047,0.2243797485718259
0.2439406531382605,0.16385626375968865
0.26270531876428055,0.18291243857858774
0.2814699843903006,0.1362561232356024
0.3002346500163206,0.132811697270684
0.31899931564234063,0.19758479853304525
0.33776398126836066,0.25806355054044333
0.35652864689438074,0.3332593953070381
0.37529331252040077,0.4245143169750055
