"time","power"
0.09382332813010019,0.19164531249430167
0.11258799375612023,0.2588797436388746
0.13135265938214027,0.27238099733232657
0.1501173250081603,0.27446508347292653
0.16888199063418033,0.29734472479907836
0.18764665626020038,0.2515854421467747
0.2064113218862204,0.2496372746675182
0.22517598751224047,0.2350486716833184
0.2439406531382605,0.17932202053249313
0.26270531876428055,0.16550362329590634
0.2814699843903006,0.1285337474104808
0.3002346500163206,0.1572125849539543
0.31899931564234063,0.18009222628010615
0.33776398126836066,0.2416633798687009
0.35652864689438074,0.3332272513937562
0.37529331252040077,0.4180858022925332
